date,caspiansea,eastern,qaraqom,markazi,persiangolf,urmia
2002-08-01,1.688,6.913,8.56,3.029,1.741,-0.159
2002-09-01,-1.827,4.546,-0.483,-3.575,0.813,-3.464
2002-10-01,0.274,2.29,2.434,2.625,3.379,1.068
2002-11-01,-1.124,5.865,1.191,3.335,0.397,-5.326
2002-12-01,0.855,5.516,3.623,4.952,1.219,-0.644
2003-01-01,5.309,2.716,0.195,1.429,1.831,18.285
2003-02-01,8.703,-2.684,5.635,7.202,7.587,11.211
2003-03-01,11.601,1.549,11.692,5.43,9.788,23.112
2003-04-01,15.172,-0.027,9.071,9.116,9.148,21.38
2003-05-01,16.393,-0.336,5.423,5.5,11.283,23.267
2003-06-01,18.191,4.179,4.771,6.962,5.53,9.901
2003-07-01,12.35,0.422,2.272,5.142,2.649,11.824
2003-08-01,8.77,0.026,1.423,4.79,0.728,3.723
2003-09-01,3.148,-0.042,0.444,1.254,-2.366,1.476
2003-10-01,0.776,-2.378,-1.363,1.064,-3.326,-1.293
2003-11-01,2.075,-3.151,-3.586,-0.12,-2.051,0.063
2003-12-01,6.442,-2.579,1.078,4.108,3.816,8.084
2004-01-01,5.917,7.287,9.437,7.45,7.823,9.548
2004-02-01,8.241,2.093,8.693,7.885,14.459,16.94
2004-03-01,11.222,-1.055,4.969,7.68,11.222,18.638
2004-04-01,11.148,0.95,9.674,6.324,10.311,19.903
2004-05-01,16.448,2.279,5.321,6.085,8.344,14.801
2004-06-01,13.623,-0.355,3.139,6.459,10.597,9.831
2004-07-01,16.283,-2.017,-1.889,3.776,4.315,10.123
2004-08-01,11.239,-4.492,-8.371,1.151,0.402,3.716
2004-09-01,12.079,-2.547,-0.19,2.609,-6.471,5.759
2004-10-01,6.818,-1.004,3.718,-0.619,0.533,-0.074
2004-11-01,6.505,-0.949,4.099,0.143,0.979,6.168
2004-12-01,6.758,6.045,9.494,4.887,7.837,8.776
2005-01-01,7.668,4.657,8.718,8.29,11.497,7.442
2005-02-01,12.456,6.267,11.805,7.393,15.875,20.582
2005-03-01,15.743,4.326,11.054,13.29,17.002,22.597
2005-04-01,14.686,2.849,7.392,10.215,16.002,21.44
2005-05-01,17.647,7.339,7.988,9.374,14.206,19.768
2005-06-01,18.111,3.776,1.815,9.757,10.019,13.135
2005-07-01,14.559,1.663,-1.289,6.504,6.785,8.809
2005-08-01,10.389,0.822,1.387,3.897,5.282,4.66
2005-09-01,7.615,1.999,1.028,4.901,3.279,3.446
2005-10-01,5.268,1.258,0.645,4.446,3.518,-4.054
2005-11-01,6.703,0.861,1.66,3.983,3.71,-0.698
2005-12-01,6.741,-1.095,-2.745,3.564,5.71,-2.608
2006-01-01,6.964,3.682,5.297,5.896,9.305,5.728
2006-02-01,13.292,1.204,5.886,9.899,16.356,21.336
2006-03-01,15.979,3.831,6.626,8.076,16.574,24.561
2006-04-01,13.93,2.058,2.998,10.243,14.626,17.288
2006-05-01,15.234,2.048,4.752,7.2,13.338,18.198
2006-06-01,11.518,2.98,4.548,7.13,9.599,7.911
2006-07-01,7.633,-0.893,-0.991,5.133,4.652,3.048
2006-08-01,4.017,1.944,2.776,1.989,3.837,4.635
2006-09-01,-0.174,0.543,-0.425,0.541,2.856,-0.519
2006-10-01,-0.783,1.282,-2.845,-0.743,0.594,-1.206
2006-11-01,2.414,3.09,0.188,2.05,5.269,4.787
2006-12-01,6.018,-2.908,-2.447,2.571,7.701,8.034
2007-01-01,3.658,-2.632,-1.422,2.796,9.058,8.579
2007-02-01,4.504,2.032,4.974,6.323,13.915,9.457
2007-03-01,10.404,-0.331,7.422,7.542,12.205,16.131
2007-04-01,15.5,1.224,6.275,8.305,13.285,18.967
2007-05-01,15.813,4.088,7.54,6.797,9.331,20.617
2007-06-01,14.269,5.783,6.076,7.51,7.813,12.013
2007-07-01,12.13,5.819,4.427,5.208,4.225,9.994
2007-08-01,8.37,3.998,3.174,4.289,0.797,4.548
